budget_year,fund_type,department,branch,program,category,account_type,budget 
2016,Tax Supported,Corporate Expenditures & Revenues,Corporate Expenditures,Corporate Expenditures,Corporate Expenditures,Expenses,21469000.00
2016,Tax Supported,Corporate Expenditures & Revenues,Corporate Expenditures,Income Replacement & Supplementary Management Pension,Income Replacement & Supplementary Management Pension,Expenses,1485000.00
2016,Tax Supported,Corporate Expenditures & Revenues,Corporate Expenditures,Management Initiatives,Management Initiatives,Expenses,700000.00
2016,Tax Supported,Corporate Expenditures & Revenues,Corporate Expenditures,Northlands Subsidy for Rexall Place,Northlands Subsidy for Rexall Place,Expenses,1819000.00
2016,Tax Supported,Corporate Expenditures & Revenues,Corporate Expenditures,Risk Management,Risk Management,Expenses,9879000.00
2016,Tax Supported,Corporate Expenditures & Revenues,Corporate Expenditures,Sundry,Sundry,Expenses,400000.00
2016,Tax Supported,Corporate Expenditures & Revenues,Corporate Expenditures,Transfer to Industrial Servicing Fund Reserve,Transfer to Industrial Servicing Fund Reserve,Expenses,1652000.00
2016,Tax Supported,Corporate Expenditures & Revenues,Corporate Revenues,Financial Stabilization Reserve,Financial Stabilization Reserve,Expenses,1125000.00
2016,Tax Supported,Corporate Expenditures & Revenues,Taxation Expenditures,Realty Tax Appeals & Adjustments,Realty Tax Appeals & Adjustments,Expenses,11000000.00
2016,Tax Supported,Corporate Expenditures & Revenues,Taxation Expenditures,Uncollectible & Loss on Tax Sale,Uncollectible & Loss on Tax Sale,Expenses,7000000.00
2016,Tax Supported,Neighbourhood Renewal Program,Microsurfacing - Transportation Operations,Microsurfacing - Transportation Operations,Microsurfacing - Transportation Operations,Expenses,1774000.00
2016,Tax Supported,Neighbourhood Renewal Program,Total Neighbourhood Renewal,Total Neighbourhood Renewal,Total Neighbourhood Renewal,Expenses,106654000.00
2016,Tax Supported,Valley Line LRT,Valley Line LRT,Valley Line LRT,Valley Line LRT,Expenses,10700000.00
2016,Enterprise/CRL,Community Revitalization Levies,Belvedere,Belvedere,Cost of Land Sold - Residential,Expenses,4121000.00
2016,Enterprise/CRL,Community Revitalization Levies,Belvedere,Belvedere,External Services,Expenses,50000.00
2016,Enterprise/CRL,Community Revitalization Levies,Belvedere,Belvedere,Intra-municipal Charges,Expenses,
2016,Enterprise/CRL,Community Revitalization Levies,Belvedere,Belvedere,Debt & Other Charges,Expenses,1750000.00
2016,Enterprise/CRL,Community Revitalization Levies,Belvedere,Belvedere,Transfer to Reserves,Expenses,2525000.00
2016,Enterprise/CRL,Community Revitalization Levies,Downtown Arena,Capital City Downtown,External Services,Expenses,638000.00
2016,Enterprise/CRL,Community Revitalization Levies,Downtown Arena,Capital City Downtown,"Materials, Goods, and Supplies",Expenses,10000.00
2016,Enterprise/CRL,Community Revitalization Levies,Downtown Arena,Capital City Downtown,Personnel,Expenses,338000.00
2016,Enterprise/CRL,Community Revitalization Levies,Downtown Arena,Capital City Downtown,Utilities & Other Charges,Expenses,11919000.00
2016,Enterprise/CRL,Sustainable Development,Blatchford Redevelopment,Blatchford Redevelopment Project,External Services,Expenses,589000.00
2016,Enterprise/CRL,Sustainable Development,Blatchford Redevelopment,Blatchford Redevelopment Project,Intra-municipal Charges,Expenses,688000.00
2016,Enterprise/CRL,Sustainable Development,Blatchford Redevelopment,Blatchford Redevelopment Project,"Materials, Goods, and Supplies",Expenses,24000.00
2016,Enterprise/CRL,Sustainable Development,Blatchford Redevelopment,Blatchford Redevelopment Project,Personnel,Expenses,1086000.00
2016,Enterprise/CRL,Sustainable Development,Blatchford Redevelopment,Blatchford Redevelopment Project,Utilities & Other Charges,Expenses,104934000.00
2016,Enterprise/CRL,Financial & Corporate Services,Land Enterprise,Land Development,Cost of Land Sold - ICI,Expenses,6886000.00
2016,Enterprise/CRL,Financial & Corporate Services,Land Enterprise,Land Development,Cost of Land Sold - Residential/Mixed Use,Expenses,14000000.00
2016,Enterprise/CRL,Financial & Corporate Services,Land Enterprise,Land Development,External Services,Expenses,108000.00
2016,Enterprise/CRL,Financial & Corporate Services,Land Enterprise,Land Development,Intra-municipal Charges,Expenses,3606000.00
2016,Enterprise/CRL,Financial & Corporate Services,Land Enterprise,Land Development,"Materials, Goods, and Supplies",Expenses,8000.00
2016,Enterprise/CRL,Financial & Corporate Services,Land Enterprise,Land Development,Personnel,Expenses,895000.00
2016,Enterprise/CRL,Financial & Corporate Services,Land Enterprise,Land Development,Utilities & Other Charges,Expenses,8000.00
2016,Enterprise/CRL,Financial & Corporate Services,Land Enterprise,Land for Future Municipal Purposes,Cost for Land - For Municipal Purposes,Expenses,89603000.00
2016,Enterprise/CRL,Financial & Corporate Services,Land Enterprise,Land for Future Municipal Purposes,External Services,Expenses,
2016,Enterprise/CRL,Financial & Corporate Services,Land Enterprise,Land for Future Municipal Purposes,Intra-municipal Charges,Expenses,
2016,Enterprise/CRL,Financial & Corporate Services,Land Enterprise,Land for Future Municipal Purposes,Intra-municipal Recoveries,Expenses,89603000.00
2016,Enterprise/CRL,Financial & Corporate Services,Land Enterprise,Land for Future Municipal Purposes,"Materials, Goods, and Supplies",Expenses,
2016,Enterprise/CRL,Financial & Corporate Services,Land Enterprise,Land for Future Municipal Purposes,Personnel,Expenses,
2016,Enterprise/CRL,Financial & Corporate Services,Land Enterprise,Land for Future Municipal Purposes,Utilities & Other Charges,Expenses,
2016,Tax Supported,Boards & Commissions,Arts Council,Arts Council,Arts Council,Expenses,12274000.00
2016,Tax Supported,Boards & Commissions,Combative Sports Commission,Combative Sports Commission,External Services,Expenses,23000.00
2016,Tax Supported,Boards & Commissions,Combative Sports Commission,Combative Sports Commission,Intra-municipal Charges,Expenses,3000.00
2016,Tax Supported,Boards & Commissions,Combative Sports Commission,Combative Sports Commission,"Materials, Goods, and Supplies",Expenses,4000.00
2016,Tax Supported,Boards & Commissions,Combative Sports Commission,Combative Sports Commission,Personnel,Expenses,133000.00
2016,Tax Supported,Boards & Commissions,Combative Sports Commission,Combative Sports Commission,Utilities & Other Charges,Expenses,33000.00
2016,Tax Supported,Boards & Commissions,Economic Development Corporation,Economic Development Corporation,Operating Expenses,Expenses,21752000.00
2016,Tax Supported,Boards & Commissions,Economic Development Corporation,Economic Development Corporation,Repair & Maintenance,Expenses,1340000.00
2016,Tax Supported,Boards & Commissions,Economic Development Corporation,Economic Development Corporation,Utilities,Expenses,1906000.00
2016,Tax Supported,Boards & Commissions,Economic Development Corporation,Economic Development Corporation,Property & Equipment,Expenses,250000.00
2016,Tax Supported,Boards & Commissions,Economic Development Corporation,Economic Development Corporation,Personnel and Related,Expenses,22351000.00
2016,Tax Supported,Boards & Commissions,Edmonton Police Service,Edmonton Police Service,External Services,Expenses,21247000.00
2016,Tax Supported,Boards & Commissions,Edmonton Police Service,Edmonton Police Service,Fleet Services,Expenses,6199000.00
2016,Tax Supported,Boards & Commissions,Edmonton Police Service,Edmonton Police Service,Intra-municipal Recoveries,Expenses,1831000.00
2016,Tax Supported,Boards & Commissions,Edmonton Police Service,Edmonton Police Service,Intra-municipal Services,Expenses,11342000.00
2016,Tax Supported,Boards & Commissions,Edmonton Police Service,Edmonton Police Service,"Materials, Goods & Supplies",Expenses,12765000.00
2016,Tax Supported,Boards & Commissions,Edmonton Police Service,Edmonton Police Service,Personnel,Expenses,315566000.00
2016,Tax Supported,Boards & Commissions,Edmonton Police Service,Edmonton Police Service,Transfer to Reserves,Expenses,5271000.00
2016,Tax Supported,Boards & Commissions,Edmonton Police Service,Edmonton Police Service,Utilities & Other Charges,Expenses,11490000.00
2016,Tax Supported,Boards & Commissions,Edmonton Public Library,Edmonton Public Library,Building Operations and Maintenance,Expenses,2887000.00
2016,Tax Supported,Boards & Commissions,Edmonton Public Library,Edmonton Public Library,Capital Project Financing,Expenses,8093000.00
2016,Tax Supported,Boards & Commissions,Edmonton Public Library,Edmonton Public Library,Library Subscriptions,Expenses,2050000.00
2016,Tax Supported,Boards & Commissions,Edmonton Public Library,Edmonton Public Library,Materials and Equipment,Expenses,2075000.00
2016,Tax Supported,Boards & Commissions,Edmonton Public Library,Edmonton Public Library,Personnel,Expenses,37232000.00
2016,Tax Supported,Boards & Commissions,Edmonton Public Library,Edmonton Public Library,Services,Expenses,2510000.00
2016,Tax Supported,Boards & Commissions,Edmonton Public Library,Edmonton Public Library,Transfer to Reserves,Expenses,2822000.00
2016,Tax Supported,Boards & Commissions,Edmonton Public Library,Edmonton Public Library,Utilities and Other Charges,Expenses,3344000.00
2016,Tax Supported,Boards & Commissions,Federation of Community Leagues,Federation of Community Leagues,Federation of Community Leagues,Expenses,1000.00
2016,Tax Supported,Boards & Commissions,Federation of Community Leagues,Federation of Community Leagues,Federation of Community Leagues,Expenses,6096000.00
2016,Tax Supported,Boards & Commissions,Fort Edmonton Park,Fort Edmonton Park,External Services,Expenses,2094000.00
2016,Tax Supported,Boards & Commissions,Fort Edmonton Park,Fort Edmonton Park,Fleet Services,Expenses,82000.00
2016,Tax Supported,Boards & Commissions,Fort Edmonton Park,Fort Edmonton Park,Intra-municipal Charges,Expenses,399000.00
2016,Tax Supported,Boards & Commissions,Fort Edmonton Park,Fort Edmonton Park,"Materials, Goods, and Supplies",Expenses,620000.00
2016,Tax Supported,Boards & Commissions,Fort Edmonton Park,Fort Edmonton Park,Personnel,Expenses,3310000.00
2016,Tax Supported,Boards & Commissions,Fort Edmonton Park,Fort Edmonton Park,Utilities & Other Charges,Expenses,642000.00
2016,Tax Supported,Boards & Commissions,Greater Edmonton Foundation,Greater Edmonton Foundation,Greater Edmonton Foundation,Expenses,3700000.00
2016,Tax Supported,Boards & Commissions,Heritage Council,Heritage Council,Heritage Council,Expenses,880000.00
2016,Tax Supported,Boards & Commissions,REACH Edmonton,REACH Edmonton,REACH Edmonton,Expenses,4229000.00
2016,Tax Supported,Boards & Commissions,The Edmonton Space and Science Foundation,The Edmonton Space and Science Foundation,The Edmonton Space and Science Foundation,Expenses,2029000.00
2016,Tax Supported,Community Revitalization Levies,The Quarters,The Quarters Downtown,External Services,Expenses,178000.00
2016,Tax Supported,Community Revitalization Levies,The Quarters,The Quarters Downtown,Intra-municipal Charges,Expenses,53000.00
2016,Tax Supported,Community Revitalization Levies,The Quarters,The Quarters Downtown,"Materials, Goods, and Supplies",Expenses,13000.00
2016,Tax Supported,Community Revitalization Levies,The Quarters,The Quarters Downtown,Personnel,Expenses,506000.00
2016,Tax Supported,Community Revitalization Levies,The Quarters,The Quarters Downtown,Debt & Other Charges,Expenses,4294000.00
2016,Tax Supported,Citizen Services,Community & Recreation Facilities,Civic Events and Partnerships,External Services,Expenses,2582000.00
2016,Tax Supported,Citizen Services,Community & Recreation Facilities,Civic Events and Partnerships,Fleet Services,Expenses,16000.00
2016,Tax Supported,Citizen Services,Community & Recreation Facilities,Civic Events and Partnerships,Intra-municipal Charges,Expenses,1671000.00
2016,Tax Supported,Citizen Services,Community & Recreation Facilities,Civic Events and Partnerships,"Materials, Goods, and Supplies",Expenses,82000.00
2016,Tax Supported,Citizen Services,Community & Recreation Facilities,Civic Events and Partnerships,Personnel,Expenses,2074000.00
2016,Tax Supported,Citizen Services,Community & Recreation Facilities,Civic Events and Partnerships,Utilities & Other Charges,Expenses,111000.00
2016,Tax Supported,Citizen Services,Community & Recreation Facilities,Facility Operations,External Services,Expenses,7386000.00
2016,Tax Supported,Citizen Services,Community & Recreation Facilities,Facility Operations,Fleet Services,Expenses,2490000.00
2016,Tax Supported,Citizen Services,Community & Recreation Facilities,Facility Operations,Intra-municipal Charges,Expenses,3228000.00
2016,Tax Supported,Citizen Services,Community & Recreation Facilities,Facility Operations,Intra-municipal Recoveries,Expenses,283000.00
2016,Tax Supported,Citizen Services,Community & Recreation Facilities,Facility Operations,"Materials, Goods, and Supplies",Expenses,8006000.00
2016,Tax Supported,Citizen Services,Community & Recreation Facilities,Facility Operations,Personnel,Expenses,62379000.00
2016,Tax Supported,Citizen Services,Community & Recreation Facilities,Facility Operations,Transfer to Reserves,Expenses,851000.00
2016,Tax Supported,Citizen Services,Community & Recreation Facilities,Facility Operations,Utilities & Other Charges,Expenses,15447000.00
2016,Tax Supported,Citizen Services,Community & Recreation Facilities,River Valley Operations,External Services,Expenses,192000.00
2016,Tax Supported,Citizen Services,Community & Recreation Facilities,River Valley Operations,Fleet Services,Expenses,722000.00
2016,Tax Supported,Citizen Services,Community & Recreation Facilities,River Valley Operations,Intra-municipal Charges,Expenses,654000.00
2016,Tax Supported,Citizen Services,Community & Recreation Facilities,River Valley Operations,Intra-municipal Recoveries,Expenses,75000.00
2016,Tax Supported,Citizen Services,Community & Recreation Facilities,River Valley Operations,"Materials, Goods, and Supplies",Expenses,518000.00
2016,Tax Supported,Citizen Services,Community & Recreation Facilities,River Valley Operations,Personnel,Expenses,2917000.00
2016,Tax Supported,Citizen Services,Community & Recreation Facilities,River Valley Operations,Utilities & Other Charges,Expenses,1309000.00
2016,Tax Supported,Citizen Services,Community Standards,Animal Care and Pest Management,External Services,Expenses,658000.00
2016,Tax Supported,Citizen Services,Community Standards,Animal Care and Pest Management,Fleet Services,Expenses,110000.00
2016,Tax Supported,Citizen Services,Community Standards,Animal Care and Pest Management,Intra-municipal Charges,Expenses,285000.00
2016,Tax Supported,Citizen Services,Community Standards,Animal Care and Pest Management,"Materials, Goods, and Supplies",Expenses,1184000.00
2016,Tax Supported,Citizen Services,Community Standards,Animal Care and Pest Management,Personnel,Expenses,3717000.00
2016,Tax Supported,Citizen Services,Community Standards,Animal Care and Pest Management,Utilities & Other Charges,Expenses,762000.00
2016,Tax Supported,Citizen Services,Community Standards,Enforcement and Program Services,External Services,Expenses,4591000.00
2016,Tax Supported,Citizen Services,Community Standards,Enforcement and Program Services,Fleet Services,Expenses,779000.00
2016,Tax Supported,Citizen Services,Community Standards,Enforcement and Program Services,Intra-municipal Charges,Expenses,2913000.00
2016,Tax Supported,Citizen Services,Community Standards,Enforcement and Program Services,"Materials, Goods, and Supplies",Expenses,308000.00
2016,Tax Supported,Citizen Services,Community Standards,Enforcement and Program Services,Personnel,Expenses,11090000.00
2016,Tax Supported,Citizen Services,Community Standards,Enforcement and Program Services,Utilities & Other Charges,Expenses,428000.00
2016,Tax Supported,Citizen Services,Community Strategies & Development,Business Strategies and Community Initiatives,External Services,Expenses,2229000.00
2016,Tax Supported,Citizen Services,Community Strategies & Development,Business Strategies and Community Initiatives,Intra-municipal Charges,Expenses,187000.00
2016,Tax Supported,Citizen Services,Community Strategies & Development,Business Strategies and Community Initiatives,Intra-municipal Recoveries,Expenses,150000.00
2016,Tax Supported,Citizen Services,Community Strategies & Development,Business Strategies and Community Initiatives,"Materials, Goods, and Supplies",Expenses,408000.00
2016,Tax Supported,Citizen Services,Community Strategies & Development,Business Strategies and Community Initiatives,Personnel,Expenses,6131000.00
2016,Tax Supported,Citizen Services,Community Strategies & Development,Business Strategies and Community Initiatives,Utilities & Other Charges,Expenses,318000.00
2016,Tax Supported,Citizen Services,Community Strategies & Development,Communities of Interest,External Services,Expenses,1433000.00
2016,Tax Supported,Citizen Services,Community Strategies & Development,Communities of Interest,Intra-municipal Charges,Expenses,129000.00
2016,Tax Supported,Citizen Services,Community Strategies & Development,Communities of Interest,"Materials, Goods, and Supplies",Expenses,138000.00
2016,Tax Supported,Citizen Services,Community Strategies & Development,Communities of Interest,Personnel,Expenses,3464000.00
2016,Tax Supported,Citizen Services,Community Strategies & Development,Communities of Interest,Utilities & Other Charges,Expenses,1658000.00
2016,Tax Supported,Citizen Services,Community Strategies & Development,Community Investment,External Services,Expenses,155000.00
2016,Tax Supported,Citizen Services,Community Strategies & Development,Community Investment,Intra-municipal Charges,Expenses,38000.00
2016,Tax Supported,Citizen Services,Community Strategies & Development,Community Investment,"Materials, Goods, and Supplies",Expenses,7000.00
2016,Tax Supported,Citizen Services,Community Strategies & Development,Community Investment,Personnel,Expenses,1461000.00
2016,Tax Supported,Citizen Services,Community Strategies & Development,Community Investment,Utilities & Other Charges,Expenses,27759000.00
2016,Tax Supported,Citizen Services,Facility and Landscape Infrastructure,Building Design and Construction,External Services,Expenses,598000.00
2016,Tax Supported,Citizen Services,Facility and Landscape Infrastructure,Building Design and Construction,Intra-municipal Charges,Expenses,878000.00
2016,Tax Supported,Citizen Services,Facility and Landscape Infrastructure,Building Design and Construction,Intra-municipal Recoveries,Expenses,7871000.00
2016,Tax Supported,Citizen Services,Facility and Landscape Infrastructure,Building Design and Construction,"Materials, Goods, and Supplies",Expenses,181000.00
2016,Tax Supported,Citizen Services,Facility and Landscape Infrastructure,Building Design and Construction,Personnel,Expenses,6980000.00
2016,Tax Supported,Citizen Services,Facility and Landscape Infrastructure,Building Design and Construction,Utilities & Other Charges,Expenses,322000.00
2016,Tax Supported,Citizen Services,Facility and Landscape Infrastructure,Facility Maintenance Services,External Services,Expenses,43180000.00
2016,Tax Supported,Citizen Services,Facility and Landscape Infrastructure,Facility Maintenance Services,Fleet Services,Expenses,2794000.00
2016,Tax Supported,Citizen Services,Facility and Landscape Infrastructure,Facility Maintenance Services,Intra-municipal Charges,Expenses,2940000.00
2016,Tax Supported,Citizen Services,Facility and Landscape Infrastructure,Facility Maintenance Services,Intra-municipal Recoveries,Expenses,34793000.00
2016,Tax Supported,Citizen Services,Facility and Landscape Infrastructure,Facility Maintenance Services,"Materials, Goods, and Supplies",Expenses,8102000.00
2016,Tax Supported,Citizen Services,Facility and Landscape Infrastructure,Facility Maintenance Services,Personnel,Expenses,39475000.00
2016,Tax Supported,Citizen Services,Facility and Landscape Infrastructure,Facility Maintenance Services,Utilities & Other Charges,Expenses,670000.00
2016,Tax Supported,Citizen Services,Facility and Landscape Infrastructure,Landscape Design and Construction,External Services,Expenses,149000.00
2016,Tax Supported,Citizen Services,Facility and Landscape Infrastructure,Landscape Design and Construction,Fleet Services,Expenses,320000.00
2016,Tax Supported,Citizen Services,Facility and Landscape Infrastructure,Landscape Design and Construction,Intra-municipal Charges,Expenses,1328000.00
2016,Tax Supported,Citizen Services,Facility and Landscape Infrastructure,Landscape Design and Construction,Intra-municipal Recoveries,Expenses,6785000.00
2016,Tax Supported,Citizen Services,Facility and Landscape Infrastructure,Landscape Design and Construction,"Materials, Goods, and Supplies",Expenses,576000.00
2016,Tax Supported,Citizen Services,Facility and Landscape Infrastructure,Landscape Design and Construction,Personnel,Expenses,8363000.00
2016,Tax Supported,Citizen Services,Facility and Landscape Infrastructure,Landscape Design and Construction,Utilities & Other Charges,Expenses,196000.00
2016,Tax Supported,Citizen Services,Facility and Landscape Infrastructure,Park & Facility Development,External Services,Expenses,335000.00
2016,Tax Supported,Citizen Services,Facility and Landscape Infrastructure,Park & Facility Development,Intra-municipal Charges,Expenses,669000.00
2016,Tax Supported,Citizen Services,Facility and Landscape Infrastructure,Park & Facility Development,Intra-municipal Recoveries,Expenses,
2016,Tax Supported,Citizen Services,Facility and Landscape Infrastructure,Park & Facility Development,"Materials, Goods, and Supplies",Expenses,57000.00
2016,Tax Supported,Citizen Services,Facility and Landscape Infrastructure,Park & Facility Development,Personnel,Expenses,4198000.00
2016,Tax Supported,Citizen Services,Facility and Landscape Infrastructure,Park & Facility Development,Utilities & Other Charges,Expenses,82000.00
2016,Tax Supported,Citizen Services,Fire Rescue Services,Fire Rescue Operations,External Services,Expenses,163000.00
2016,Tax Supported,Citizen Services,Fire Rescue Services,Fire Rescue Operations,Intra-municipal Charges,Expenses,255000.00
2016,Tax Supported,Citizen Services,Fire Rescue Services,Fire Rescue Operations,"Materials, Goods, and Supplies",Expenses,1733000.00
2016,Tax Supported,Citizen Services,Fire Rescue Services,Fire Rescue Operations,Personnel,Expenses,150009000.00
2016,Tax Supported,Citizen Services,Fire Rescue Services,Fire Rescue Operations,Utilities & Other Charges,Expenses,344000.00
2016,Tax Supported,Citizen Services,Fire Rescue Services,Planning and Office of Emergency Management,External Services,Expenses,66000.00
2016,Tax Supported,Citizen Services,Fire Rescue Services,Planning and Office of Emergency Management,Intra-municipal Charges,Expenses,22000.00
2016,Tax Supported,Citizen Services,Fire Rescue Services,Planning and Office of Emergency Management,"Materials, Goods, and Supplies",Expenses,64000.00
2016,Tax Supported,Citizen Services,Fire Rescue Services,Planning and Office of Emergency Management,Personnel,Expenses,1142000.00
2016,Tax Supported,Citizen Services,Fire Rescue Services,Planning and Office of Emergency Management,Utilities & Other Charges,Expenses,42000.00
2016,Tax Supported,Citizen Services,Fire Rescue Services,Public Safety,External Services,Expenses,11832000.00
2016,Tax Supported,Citizen Services,Fire Rescue Services,Public Safety,Intra-municipal Charges,Expenses,26000.00
2016,Tax Supported,Citizen Services,Fire Rescue Services,Public Safety,Intra-municipal Recoveries,Expenses,6000.00
2016,Tax Supported,Citizen Services,Fire Rescue Services,Public Safety,"Materials, Goods, and Supplies",Expenses,72000.00
2016,Tax Supported,Citizen Services,Fire Rescue Services,Public Safety,Personnel,Expenses,9318000.00
2016,Tax Supported,Citizen Services,Fire Rescue Services,Public Safety,Utilities & Other Charges,Expenses,83000.00
2016,Tax Supported,Citizen Services,Fire Rescue Services,Technical Services,External Services,Expenses,137000.00
2016,Tax Supported,Citizen Services,Fire Rescue Services,Technical Services,Intra-municipal Charges,Expenses,74000.00
2016,Tax Supported,Citizen Services,Fire Rescue Services,Technical Services,"Materials, Goods, and Supplies",Expenses,1646000.00
2016,Tax Supported,Citizen Services,Fire Rescue Services,Technical Services,Personnel,Expenses,7507000.00
2016,Tax Supported,Citizen Services,Fire Rescue Services,Technical Services,Utilities & Other Charges,Expenses,673000.00
2016,Tax Supported,Citizen Services,Fire Rescue Services,Training and Logistics,External Services,Expenses,217000.00
2016,Tax Supported,Citizen Services,Fire Rescue Services,Training and Logistics,Fleet Services,Expenses,9473000.00
2016,Tax Supported,Citizen Services,Fire Rescue Services,Training and Logistics,Intra-municipal Charges,Expenses,404000.00
2016,Tax Supported,Citizen Services,Fire Rescue Services,Training and Logistics,Intra-municipal Recoveries,Expenses,3000.00
2016,Tax Supported,Citizen Services,Fire Rescue Services,Training and Logistics,"Materials, Goods, and Supplies",Expenses,4156000.00
2016,Tax Supported,Citizen Services,Fire Rescue Services,Training and Logistics,Personnel,Expenses,7955000.00
2016,Tax Supported,Citizen Services,Fire Rescue Services,Training and Logistics,Utilities & Other Charges,Expenses,156000.00
2016,Tax Supported,Citizen Services,Neighbourhoods,Family and Community Support,External Services,Expenses,256000.00
2016,Tax Supported,Citizen Services,Neighbourhoods,Family and Community Support,Intra-municipal Charges,Expenses,74000.00
2016,Tax Supported,Citizen Services,Neighbourhoods,Family and Community Support,"Materials, Goods, and Supplies",Expenses,87000.00
2016,Tax Supported,Citizen Services,Neighbourhoods,Family and Community Support,Personnel,Expenses,5429000.00
2016,Tax Supported,Citizen Services,Neighbourhoods,Family and Community Support,Utilities & Other Charges,Expenses,674000.00
2016,Tax Supported,Citizen Services,Neighbourhoods,Neighbourhoods & Parks,External Services,Expenses,1962000.00
2016,Tax Supported,Citizen Services,Neighbourhoods,Neighbourhoods & Parks,Fleet Services,Expenses,8363000.00
2016,Tax Supported,Citizen Services,Neighbourhoods,Neighbourhoods & Parks,Intra-municipal Charges,Expenses,1192000.00
2016,Tax Supported,Citizen Services,Neighbourhoods,Neighbourhoods & Parks,Intra-municipal Recoveries,Expenses,1221000.00
2016,Tax Supported,Citizen Services,Neighbourhoods,Neighbourhoods & Parks,"Materials, Goods, and Supplies",Expenses,6427000.00
2016,Tax Supported,Citizen Services,Neighbourhoods,Neighbourhoods & Parks,Personnel,Expenses,38022000.00
2016,Tax Supported,Citizen Services,Neighbourhoods,Neighbourhoods & Parks,Utilities & Other Charges,Expenses,1994000.00
2016,Tax Supported,Citizen Services,Neighbourhoods,"Neighbourhoods, Strategy & Support",External Services,Expenses,654000.00
2016,Tax Supported,Citizen Services,Neighbourhoods,"Neighbourhoods, Strategy & Support",Fleet Services,Expenses,35000.00
2016,Tax Supported,Citizen Services,Neighbourhoods,"Neighbourhoods, Strategy & Support",Intra-municipal Charges,Expenses,118000.00
2016,Tax Supported,Citizen Services,Neighbourhoods,"Neighbourhoods, Strategy & Support",Intra-municipal Recoveries,Expenses,1363000.00
2016,Tax Supported,Citizen Services,Neighbourhoods,"Neighbourhoods, Strategy & Support","Materials, Goods, and Supplies",Expenses,885000.00
2016,Tax Supported,Citizen Services,Neighbourhoods,"Neighbourhoods, Strategy & Support",Personnel,Expenses,6057000.00
